City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
615,Canita,PA,88.74,overcast clouds,9.2097,-78.8811,Centro recreativo y turistico el mojao
617,Venado Tuerto,AR,78.78,clear sky,-33.7456,-61.9688,Hotel - Miro Park
619,Temecula,US,76.89,clear sky,33.4936,-117.1484,Embassy Suites by Hilton Temecula Valley Wine Country
622,Luwuk,ID,77.07,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
623,Porbandar,IN,79.39,clear sky,21.6422,69.6093,Lords Inn Porbandar
625,Catalina,US,84.06,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
626,Carutapera,BR,84.0,clear sky,-1.195,-46.02,Lidera
627,Camapua,BR,76.24,overcast clouds,-19.5314,-54.0439,Comercial Estrela
628,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
630,Birao,CF,79.16,overcast clouds,10.2849,22.7882,
631,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
632,Kavaratti,IN,81.37,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
636,Lazaro Cardenas,MX,77.56,overcast clouds,17.9583,-102.2,quinta antigua
638,Ewa Beach,US,81.09,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
639,Presidencia Roque Saenz Pena,AR,83.03,clear sky,-26.7852,-60.4388,Hotel Aconcagua
643,Mandera,KE,87.48,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
651,Itarema,BR,82.83,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
652,Diffa,NE,88.84,few clouds,13.3154,12.6113,ProDAF/Diffa
658,Mayumba,GA,76.77,light rain,-3.432,10.6554,LIKWALE LODGE
661,San-Pedro,CI,76.91,overcast clouds,4.7485,-6.6363,Hotel Maria
666,Banda Aceh,ID,79.03,overcast clouds,5.5577,95.3222,Sulthan Hotel International
669,Indiaroba,BR,80.01,scattered clouds,-11.5192,-37.5117,Pura Vida Bahia
670,Bara,NG,81.09,overcast clouds,10.3744,10.7288,
