City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
302,Tubuala,PA,9.5167,-79.0333,89.33,74,99,5.57,overcast clouds
303,Hami,CN,42.8,93.45,45.09,36,11,7.29,few clouds
304,Juneau,US,58.3019,-134.4197,44.83,96,75,0.0,broken clouds
305,Burnie,AU,-41.0667,145.9167,44.94,70,18,6.64,few clouds
306,Parrita,CR,9.5201,-84.3225,90.99,77,38,6.26,scattered clouds
307,Touros,BR,-5.1989,-35.4608,83.3,71,48,14.29,scattered clouds
308,Newport,GB,51.5877,-2.9984,57.51,87,9,12.8,clear sky
309,Macau,MO,22.2006,113.5461,69.08,73,20,20.71,light rain
310,Flin Flon,CA,54.7682,-101.865,44.13,57,14,12.19,few clouds
311,Iskateley,RU,67.6803,53.1512,19.06,97,76,2.35,broken clouds
312,Dingle,PH,10.9995,122.6711,75.24,93,97,3.18,overcast clouds
313,Egvekinot,RU,66.3167,-179.1667,3.15,88,30,6.4,scattered clouds
314,Lashio,MM,22.9333,97.75,65.5,100,100,1.21,overcast clouds
315,Eydhafushi,MV,5.1033,73.0708,82.31,73,33,16.06,scattered clouds
316,Bucerias,MX,20.75,-105.3333,86.99,70,75,12.66,broken clouds
317,Miri,MY,4.4148,114.0089,76.03,90,100,3.96,overcast clouds
318,Bud,US,39.447,-86.1758,73.58,98,100,11.9,moderate rain
319,Mersin,TR,36.862,34.6509,61.95,51,8,2.55,clear sky
320,Ugoofaaru,MV,5.6667,73.0,82.54,77,75,16.26,broken clouds
321,Amla,IN,21.9333,78.1167,64.11,64,2,2.15,clear sky
322,Panaba,MX,21.2833,-88.2667,92.82,48,93,8.03,overcast clouds
323,Sawang Daen Din,TH,17.4753,103.4575,70.18,99,100,6.04,overcast clouds
324,Narsaq,GL,60.9167,-46.05,32.22,53,100,6.04,overcast clouds
325,Petropavlovka,RU,50.6114,105.3196,34.86,64,9,3.36,clear sky
326,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,23.02,clear sky
327,Terney,RU,45.0503,136.6092,42.64,66,0,7.56,clear sky
328,Buchanan,LR,5.8808,-10.0467,77.86,87,100,5.73,moderate rain
329,Muzaffarabad,PK,34.37,73.4711,56.37,84,100,4.92,overcast clouds
330,Banjar,ID,-8.19,114.9675,76.91,86,98,5.44,overcast clouds
331,Ponta Do Sol,PT,32.6667,-17.1,70.72,72,97,5.75,overcast clouds
332,Okhotsk,RU,59.3833,143.3,17.15,82,27,8.59,scattered clouds
333,Vila Velha,BR,-20.3297,-40.2925,80.55,78,20,19.57,few clouds
334,Inongo,CD,-1.95,18.2667,73.35,94,49,4.79,scattered clouds
335,Conde,BR,-7.2597,-34.9075,80.06,74,20,11.5,few clouds
336,Wanning,CN,18.8003,110.3967,70.18,85,98,9.6,overcast clouds
337,Belmonte,BR,-15.8631,-38.8828,79.3,81,26,9.75,scattered clouds
338,Ukiah,US,39.1502,-123.2078,58.01,94,90,6.91,heavy intensity rain
339,Pringsewu,ID,-5.3582,104.9744,73.99,97,97,2.28,overcast clouds
340,Noumea,NC,-22.2763,166.4572,73.99,99,6,8.95,clear sky
341,Namtsy,RU,62.7161,129.6658,32.11,98,100,5.21,light snow
342,Umm Lajj,SA,25.0213,37.2685,77.85,67,0,8.46,clear sky
343,Wencheng,CN,33.0559,113.7978,54.45,61,100,1.7,overcast clouds
344,Abrantes,PT,39.4667,-8.2,62.42,63,0,1.99,clear sky
345,Rawson,AR,-43.3002,-65.1023,77.9,21,99,37.07,overcast clouds
