City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Proletarsk,RU,2021-10-23 16:51:26,46.7031,41.7192,57.36,67,100,6.71
202,Saint George,US,2021-10-23 16:51:27,37.1041,-113.5841,72.07,31,81,5.19
203,Mokhotlong,LS,2021-10-23 16:51:29,-29.2894,29.0675,57.2,26,6,7.36
204,Souillac,MU,2021-10-23 16:48:30,-20.5167,57.5167,75.58,78,75,12.66
205,Da Nang,VN,2021-10-23 16:51:32,16.0678,108.2208,71.58,94,75,5.75
206,Arraial Do Cabo,BR,2021-10-23 16:51:32,-22.9661,-42.0278,80.56,73,0,19.57
207,Bengkulu,ID,2021-10-23 16:49:16,-3.8004,102.2655,75.97,91,64,4.36
208,Kuznechnoye,RU,2021-10-23 16:51:33,61.12,29.8686,35.01,82,99,11.03
209,Saint-Augustin,CA,2021-10-23 16:51:33,51.226,-58.6502,41.43,86,100,16.84
210,Ixtapa,MX,2021-10-23 16:48:03,20.7,-105.2,86.23,81,94,5.01
211,San Patricio,US,2021-10-23 16:51:33,28.017,-97.5169,84.92,58,98,11.34
212,Vanimo,PG,2021-10-23 16:51:34,-2.6741,141.3028,77.09,89,73,5.82
213,Champerico,GT,2021-10-23 16:51:34,14.3,-91.9167,91.76,75,76,4.21
214,Alice Springs,AU,2021-10-23 16:51:34,-23.7,133.8833,72.95,31,43,9.22
215,Grand Gaube,MU,2021-10-23 16:51:35,-20.0064,57.6608,75.6,73,3,5.99
216,Ribeira Grande,PT,2021-10-23 16:51:36,38.5167,-28.7,73.8,60,20,12.66
217,Tuktoyaktuk,CA,2021-10-23 16:51:37,69.4541,-133.0374,28.4,93,90,10.36
218,Plaeng Yao,TH,2021-10-23 16:51:38,13.5847,101.284,80.33,92,77,6.62
219,Fuyang,CN,2021-10-23 16:51:39,32.9,115.8167,55.54,64,99,4.32
220,Yar-Sale,RU,2021-10-23 16:51:40,66.8333,70.8333,30.54,92,100,8.84
221,Chokurdakh,RU,2021-10-23 16:51:41,70.6333,147.9167,-4.54,94,100,5.61
222,Kargalinskaya,RU,2021-10-23 16:51:41,43.7417,46.4792,54.54,80,0,5.26
223,Anuradhapura,LK,2021-10-23 16:51:42,8.3565,80.4173,75.67,93,47,4.7
224,Celestun,MX,2021-10-23 16:51:42,20.8667,-90.4,78.12,82,100,5.93
225,Akdepe,TM,2021-10-23 16:51:43,42.0551,59.3788,51.8,29,0,10.56
226,Nemuro,JP,2021-10-23 16:51:43,43.3236,145.575,44.04,74,32,10.89
